rank,drills,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O10,0,0,0,0,0,0,0,0,0,0,0,0,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O9,0,0,0,0,0,0,0,0,0,0,0,0,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O8,0,13380,13818.9,14109.3,14190.3,14553.6,15159.3,15300.6,15876.3,16042.2,16538.1,17256,17917.2,18359.1,18359.1,18359.1,18359.1,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O7,0,11117.7,11634,11873.1,12063.6,12407.1,12747.3,13140,13531.5,13925.1,15159.3,16202.1,16202.1,16202.1,16202.1,16285.5,16285.5,16611,16611,16611,16611,16611,16611
O7,1,370.59,387.8,395.77,402.12,413.57,424.91,438,451.05,464.17,505.31,540.07,540.07,540.07,540.07,542.85,542.85,553.7,553.7,553.7,533.7,553.7,553.7
O7,4,1482.36,1551.2,1583.08,1608.48,1654.28,1699.64,1752,1804.2,1856.68,2021.24,2160.28,2160.28,2160.28,2160.28,2171.4,2171.4,2214.8,2214.8,2214.8,2214.8,2214.8,2214.8
O6,0,8430.9,9261.9,9870,9870,9907.8,10332.3,10388.7,10388.7,10979.1,12022.8,12635.4,13247.7,13596.3,13949.1,14632.8,14632.8,14925,14925,14925,14925,14925,14925
O6,1,281.03,308.73,329,329,330.26,344.41,346.29,346.29,365.97,400.76,421.18,441.59,453.21,464.97,487.76,487.76,497.5,497.5,497.5,497.5,497.5,497.5
O6,4,1124.12,1234.92,1316,1316,1321.04,1377.64,1385.16,1385.16,1463.88,1603.04,1684.72,1766.36,1812.84,1859.88,1951.04,1951.04,1990,1990,1990,1990,1990,1990
O5,0,7028.4,7917.3,8465.4,8568.6,8910.9,9114.9,9564.9,9895.8,10322.7,10974.3,11285.1,11592.3,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9
O5,1,234.28,263.91,282.18,285.62,297.03,303.83,318.83,329.86,344.09,365.81,376.17,386.41,398.03,398.03,398.03,398.03,398.03,398.03,398.03,398.03,398.03,398.03
O5,4,937.12,1055.64,1128.72,1142.48,1188.12,1215.32,1275.32,1319.44,1376.36,1463.24,1504.68,1545.64,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12,1592.12
O4,0,6064.2,7019.7,7488.9,7592.4,8027.1,8493.6,9075,9526.2,9840.6,10020.9,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125
O4,1,202.14,233.99,249.63,253.08,267.57,283.12,302.5,317.54,328.02,334.03,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5,337.5
O4,4,808.56,935.96,998.52,1012.32,1070.28,1132.48,1210,1270.16,1312.08,1336.12,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
O3,0,5331.6,6044.1,6522.6,7112.4,7453.8,7827.9,8069.1,8466.6,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5
O3,1,177.72,201.47,217.42,237.08,248.46,260.93,268.97,282.22,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15,289.15
O3,4,710.88,805.88,869.68,948.32,993.84,1043.72,1075.88,1128.88,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6,1156.6
O2,0,4606.8,5246.7,6042.9,6247.2,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3
O2,1,153.56,174.89,201.43,208.24,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51,212.51
O2,4,614.24,699.56,805.72,832.96,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04,850.04
O1,0,3998.4,4161.9,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3
O1,1,133.28,138.73,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71,167.71
O1,4,533.12,554.92,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84,670.84
O3E,0,0,0,0,7112.4,7453.8,7827.9,8069.1,8466.6,8802.6,8995.2,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7
O3E,1,0,0,0,237.08,248.46,260.93,268.97,282.22,293.42,299.84,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59
O3E,4,0,0,0,948.32,993.84,1043.72,1075.88,1128.88,1173.68,1199.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36,1234.36
O2E,0,0,0,0,6247.2,6375.3,6578.1,6920.7,7185.9,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383
O2E,1,0,0,0,208.24,212.51,219.27,230.69,239.53,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1
O2E,4,0,0,0,832.96,850.04,877.08,922.76,958.12,984.4,984.4,984.4,984.4,984.4,984.4,984.4,984.4,984.4,984.4,984.4,984.4,984.4,984.4
O1E,0,0,0,0,5031.3,5372.4,5571.3,5774.4,5973.6,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2
O1E,1,0,0,0,167.71,179.08,185.71,192.48,199.12,208.24,208.24,208.24,208.24,208.24,208.24,208.24,208.24,208.24,208.24,208.24,208.24,208.24,208.24
O1E,4,0,0,0,670.84,716.32,742.84,769.92,796.48,832.96,832.96,832.96,832.96,832.96,832.96,832.96,832.96,832.96,832.96,832.96,832.96,832.96,832.96
W5,0,0,0,0,0,0,0,0,0,0,0,0,9797.4,10294.5,10665,11074.2,11074.2,11628.9,11628.9,12209.4,12209.4,12821.1,12821.1
W5,1,0,0,0,0,0,0,0,0,0,0,0,326.58,343.15,355.5,369.14,369.14,387.63,387.63,406.98,406.98,427.37,427.37
W5,4,0,0,0,0,0,0,0,0,0,0,0,1306.32,1372.6,1422,1476.56,1476.56,1550.52,1550.52,1627.92,1627.92,1709.48,1709.48
W4,0,5510.4,5926.8,6096.9,6264.3,6552.9,6838.2,7127.1,7560.9,7941.9,8304.3,8601.6,8891.1,9315.6,9664.8,10062.9,10062.9,10263.6,10263.6,10263.6,10263.6,10263.6,10263.6
W4,1,183.68,197.56,203.23,208.81,218.43,227.94,237.57,252.03,264.73,276.81,286.72,296.37,310.52,322.16,335.43,335.43,342.12,342.12,342.12,342.12,342.12,342.12
W4,4,734.72,790.24,812.92,835.24,873.72,911.76,950.28,1008.12,1058.92,1107.24,1146.88,1185.48,1242.08,1288.64,1341.72,1341.72,1368.48,1368.48,1368.48,1368.48,1368.48,1368.48
W3,0,5032.2,5241.3,5457,5526.9,5752.2,6195.6,6657.6,6875.1,7126.8,7385.4,7851.9,8166.3,8354.4,8554.5,8827.2,8827.2,8827.2,8827.2,8827.2,8827.2,8827.2,8827.2
W3,1,167.74,174.71,181.9,184.23,191.74,206.52,221.92,229.17,237.56,246.18,261.73,272.21,278.48,285.15,294.24,294.24,294.24,294.24,294.24,294.24,294.24,294.24
W3,4,670.96,698.84,727.6,736.92,766.96,826.08,887.68,916.68,950.24,984.72,1046.92,1088.84,1113.92,1140.6,1176.96,1176.96,1176.96,1176.96,1176.96,1176.96,1176.96,1176.96
W2,0,4452.6,4873.8,5003.1,5092.5,5380.8,5829.6,6052.5,6271.2,6539.1,6748.5,6937.8,7164.6,7313.7,7431.9,7431.9,7431.9,7431.9,7431.9,7431.9,7431.9,7431.9,7431.9
W2,1,148.42,162.46,166.77,169.75,179.36,194.32,201.75,209.04,217.97,224.95,231.26,238.82,243.79,247.73,247.73,247.73,247.73,247.73,247.73,247.73,247.73,247.73
W2,4,593.68,649.84,667.08,679,717.44,777.28,807,836.16,871.88,899.8,925.04,955.28,975.16,990.92,990.92,990.92,990.92,990.92,990.92,990.92,990.92,990.92
W1,0,3908.1,4329.3,4442.1,4681.2,4963.5,5379.9,5574.3,5847,6114.3,6324.6,6518.4,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6
W1,1,130.27,144.31,148.07,156.04,165.45,179.33,185.81,194.9,203.81,210.82,217.28,225.12,225.12,225.12,225.12,225.12,225.12,225.12,225.12,225.12,225.12,225.12
W1,4,521.08,577.24,592.28,624.16,661.8,717.32,743.24,779.6,815.24,843.28,869.12,900.48,900.48,900.48,900.48,900.48,900.48,900.48,900.48,900.48,900.48,900.48
E9,0,0,0,0,0,0,0,6657.3,6807.9,6997.8,7221.6,7447.8,7808.4,8114.7,8436,8928.6,8928.6,9374.1,9374.1,9843.3,9843.3,10336.5,10336.5
E9,1,0,0,0,0,0,0,221.91,226.93,233.26,240.72,248.26,260.28,270.49,281.2,297.62,297.62,312.47,312.47,328.11,328.11,344.55,344.55
E9,4,0,0,0,0,0,0,887.64,907.72,933.04,962.88,993.04,1041.12,1081.96,1124.8,1190.48,1190.48,1249.88,1249.88,1312.44,1312.44,1378.2,1378.2
E8,0,0,0,0,0,0,5449.5,5690.7,5839.8,6018.6,6212.1,6561.9,6739.2,7040.7,7207.8,7619.4,7619.4,7772.1,7772.1,7772.1,7772.1,7772.1,7772.1
E8,1,0,0,0,0,0,181.65,189.69,194.66,200.62,207.07,218.73,224.64,234.69,240.26,253.98,253.98,259.07,259.07,259.07,259.07,259.07,259.07
E8,4,0,0,0,0,0,726.6,758.76,778.64,802.48,828.28,874.92,898.56,938.76,961.04,1015.92,1015.92,1036.28,1036.28,1036.28,1036.28,1036.28,1036.28
E7,0,3788.1,4134.3,4293,4502.1,4666.5,4947.6,5106.3,5387.1,5621.4,5781.3,5951.1,6017.1,6238.2,6356.7,6808.8,6808.8,6808.8,6808.8,6808.8,6808.8,6808.8,6808.8
E7,1,126.27,137.81,143.1,150.07,155.55,164.92,170.21,179.57,187.38,192.71,198.37,200.57,207.94,211.89,226.96,226.96,226.96,226.96,226.96,226.96,226.96,226.96
E7,4,505.08,551.24,572.4,600.28,622.2,659.68,680.84,718.28,749.52,770.84,793.48,802.28,831.76,847.56,907.84,907.84,907.84,907.84,907.84,907.84,907.84,907.84
E6,0,3276.6,3606,3765,3919.8,4080.6,4443.9,4585.2,4858.8,4942.5,5003.4,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8
E6,1,109.22,120.2,125.5,130.66,136.02,148.13,152.84,161.96,164.75,166.78,169.16,169.16,169.16,169.16,169.16,169.16,169.16,169.16,169.16,169.16,169.16,169.16
E6,4,436.88,480.8,502,522.64,544.08,592.52,611.36,647.84,659,667.12,676.64,676.64,676.64,676.64,676.64,676.64,676.64,676.64,676.64,676.64,676.64,676.64
E5,0,3220.5,3466.5,3637.5,3802.2,3959.4,4142.4,4234.5,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7
E5,1,107.35,115.55,121.25,126.74,131.98,138.08,141.15,141.99,141.99,141.99,141.99,141.99,141.99,141.99,141.99,141.99,141.99,141.99,141.99,141.99,141.99,141.99
E5,4,429.4,462.2,485,506.96,527.92,552.32,564.6,567.96,567.96,567.96,567.96,567.96,567.96,567.96,567.96,567.96,567.96,567.96,567.96,567.96,567.96,567.96
E4,0,3027.3,3182.1,3354.9,3524.7,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6
E4,1,100.91,106.07,111.83,117.49,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52,122.52
E$,4,403.64,424.48,447.32,469.96,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08,490.08
E3,0,2733,2904.6,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081
E3,1,91.1,96.82,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7
E3,4,364.4,387.28,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8,410.8
E2,0,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2
E2,1,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64
E2,4,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56,346.56
E1,0,2319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1,1,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1,4,309.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
