Rank,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20
O9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20
O8,13380.00,13818.90,14109.30,14190.30,14553.60,15159.30,15300.60,15876.30,16042.20,16538.10,17256.00,17917.20,18359.10,18359.10,18359.10,18359.10,18808.20,18808.20,18808.20,18808.20,18808.20,18808.20
O7,11117.70,11634.00,11873.10,12063.60,12407.10,12747.30,13140.00,13531.50,13925.10,15159.30,16202.10,16202.10,16202.10,16202.10,16285.50,16285.50,16611.00,16611.00,16611.00,16611.00,16611.00,16611.00
O6,8430.90,9261.90,9870.00,9870.00,9907.80,10332.30,10388.70,10388.70,10979.10,12022.80,12635.40,13247.70,13596.30,13949.10,14632.80,14632.80,14925.00,14925.00,14925.00,14925.00,14925.00,14925.00
O5,7028.40,7917.30,8465.40,8568.60,8910.90,9114.90,9564.90,9895.80,10322.70,10974.30,11285.10,11592.30,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90,11940.90
O4,6064.20,7019.70,7488.90,7592.40,8027.10,8493.60,9075.00,9526.20,9840.60,10020.90,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00,10125.00
O3,5331.60,6044.10,6522.60,7112.40,7453.80,7827.90,8069.10,8466.60,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50,8674.50
O2,4606.80,5246.70,6042.90,6247.20,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30,6375.30
O1,3998.40,4161.90,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30,5031.30
O3E,0.00,0.00,0.00,7112.40,7453.80,7827.90,8069.10,8466.60,8802.60,8995.20,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70,9257.70
O2E,0.00,0.00,0.00,6247.20,6375.30,6578.10,6920.70,7185.90,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00,7383.00
O1E,0.00,0.00,0.00,5031.30,5372.40,5571.30,5774.40,5973.60,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20,6247.20
W5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9797.40,10294.50,10665.00,11074.20,11074.20,11628.90,11628.90,12209.40,12209.40,12821.10,12821.10
W4,5510.40,5926.80,6096.90,6264.30,6552.90,6838.20,7127.10,7560.90,7941.90,8304.30,8601.60,8891.10,9315.60,9664.80,10062.90,10062.90,10263.60,10263.60,10263.60,10263.60,10263.60,10263.60
W3,5032.20,5241.30,5457.00,5526.90,5752.20,6195.60,6657.60,6875.10,7126.80,7385.40,7851.90,8166.30,8354.40,8554.50,8827.20,8827.20,8827.20,8827.20,8827.20,8827.20,8827.20,8827.20
W2,4452.60,4873.80,5003.10,5092.50,5380.80,5829.60,6052.50,6271.20,6539.10,6748.50,6937.80,7164.60,7313.70,7431.90,7431.90,7431.90,7431.90,7431.90,7431.90,7431.90,7431.90,7431.90
W1,3908.10,4329.30,4442.10,4681.20,4963.50,5379.90,5574.30,5847.00,6114.30,6324.60,6518.40,6753.60,6753.60,6753.60,6753.60,6753.60,6753.60,6753.60,6753.60,6753.60,6753.60,6753.60
E9,0.00,0.00,0.00,0.00,0.00,0.00,6657.30,6807.90,6997.80,7221.60,7447.80,7808.40,8114.70,8436.00,8928.60,8928.60,9374.10,9374.10,9843.30,9843.30,10336.50,10336.50
E8,0.00,0.00,0.00,0.00,0.00,5449.50,5690.70,5839.80,6018.60,6212.10,6561.90,6739.20,7040.70,7207.80,7619.40,7619.40,7772.10,7772.10,7772.10,7772.10,7772.10,7772.10
E7,3788.10,4134.30,4293.00,4502.10,4666.50,4947.60,5106.30,5387.10,5621.40,5781.30,5951.10,6017.10,6238.20,6356.70,6808.80,6808.80,6808.80,6808.80,6808.80,6808.80,6808.80,6808.80
E6,3276.60,3606.00,3765.00,3919.80,4080.60,4443.90,4585.20,4858.80,4942.50,5003.40,5074.80,5074.80,5074.80,5074.80,5074.80,5074.80,5074.80,5074.80,5074.80,5074.80,5074.80,5074.80
E5,3220.50,3466.50,3637.50,3802.20,3959.40,4142.40,4234.50,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70,4259.70
E4,3027.30,3182.10,3354.90,3524.70,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60,3675.60
E3,2733.00,2904.60,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00,3081.00
E2,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20,2599.20
E1,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00,2319.00
